revision,system,committer_date_readable,committer_date_unix,source_lines_of_code,architecture,binding-file,environment,extractor,kconfig-file,model-features,model-file,model-literals,model-time,model-variables
v2.5.46,linux,2002-11-04,1036450260,3545394,sh,kconfigreader/kconfig-bindings/linux/v2.6.9.dumpconf,SUBARCH=sh|ARCH=sh|SRCARCH=sh|srctree=.|CC=cc|LD=ld|KERNELVERSION=v2.5.46,kconfigreader,arch/sh/Kconfig,2487,kconfigreader/linux/v2.5.46[sh].model,50014,4330572934,2819
v2.5.46,linux,2002-11-04,1036450260,3545394,sh,kmax/kconfig-bindings/linux/v2.6.9.kextractor,SUBARCH=sh|ARCH=sh|SRCARCH=sh|srctree=.|CC=cc|LD=ld|KERNELVERSION=v2.5.46,kmax,arch/sh/Kconfig,1755,kmax/linux/v2.5.46[sh].model,10786,14221808414,1667
v2.5.46,linux,2002-11-04,1036450260,3545394,sparc,kconfigreader/kconfig-bindings/linux/v2.6.9.dumpconf,SUBARCH=sparc|ARCH=sparc|SRCARCH=sparc|srctree=.|CC=cc|LD=ld|KERNELVERSION=v2.5.46,kconfigreader,arch/sparc/Kconfig,2027,kconfigreader/linux/v2.5.46[sparc].model,42347,3889366723,2247
v2.5.46,linux,2002-11-04,1036450260,3545394,sparc,kmax/kconfig-bindings/linux/v2.6.9.kextractor,SUBARCH=sparc|ARCH=sparc|SRCARCH=sparc|srctree=.|CC=cc|LD=ld|KERNELVERSION=v2.5.46,kmax,arch/sparc/Kconfig,1457,kmax/linux/v2.5.46[sparc].model,8691,11107606121,1374
v2.5.46,linux,2002-11-04,1036450260,3545394,sparc64,kconfigreader/kconfig-bindings/linux/v2.6.9.dumpconf,SUBARCH=sparc64|ARCH=sparc64|SRCARCH=sparc64|srctree=.|CC=cc|LD=ld|KERNELVERSION=v2.5.46,kconfigreader,arch/sparc64/Kconfig,2398,kconfigreader/linux/v2.5.46[sparc64].model,49332,4288657285,2662
v2.5.46,linux,2002-11-04,1036450260,3545394,sparc64,kmax/kconfig-bindings/linux/v2.6.9.kextractor,SUBARCH=sparc64|ARCH=sparc64|SRCARCH=sparc64|srctree=.|CC=cc|LD=ld|KERNELVERSION=v2.5.46,kmax,arch/sparc64/Kconfig,1678,kmax/linux/v2.5.46[sparc64].model,10118,12876882806,1593
v2.5.46,linux,2002-11-04,1036450260,3545394,v850,kconfigreader/kconfig-bindings/linux/v2.6.9.dumpconf,SUBARCH=v850|ARCH=v850|SRCARCH=v850|srctree=.|CC=cc|LD=ld|KERNELVERSION=v2.5.46,kconfigreader,arch/v850/Kconfig,3117,kconfigreader/linux/v2.5.46[v850].model,63003,4560729051,3469
v2.5.46,linux,2002-11-04,1036450260,3545394,v850,kmax/kconfig-bindings/linux/v2.6.9.kextractor,SUBARCH=v850|ARCH=v850|SRCARCH=v850|srctree=.|CC=cc|LD=ld|KERNELVERSION=v2.5.46,kmax,arch/v850/Kconfig,2171,kmax/linux/v2.5.46[v850].model,12609,16428752578,2068
v2.5.46,linux,2002-11-04,1036450260,3545394,x86_64,kconfigreader/kconfig-bindings/linux/v2.6.9.dumpconf,SUBARCH=x86_64|ARCH=x86_64|SRCARCH=x86_64|srctree=.|CC=cc|LD=ld|KERNELVERSION=v2.5.46,kconfigreader,arch/x86_64/Kconfig,3096,kconfigreader/linux/v2.5.46[x86_64].model,63698,4946085742,3443
v2.5.46,linux,2002-11-04,1036450260,3545394,x86_64,kmax/kconfig-bindings/linux/v2.6.9.kextractor,SUBARCH=x86_64|ARCH=x86_64|SRCARCH=x86_64|srctree=.|CC=cc|LD=ld|KERNELVERSION=v2.5.46,kmax,arch/x86_64/Kconfig,2148,kmax/linux/v2.5.46[x86_64].model,12612,16341291722,2045
v2.5.47,linux,2002-11-11,1036985580,3559012,alpha,kconfigreader/kconfig-bindings/linux/v2.6.9.dumpconf,SUBARCH=alpha|ARCH=alpha|SRCARCH=alpha|srctree=.|CC=cc|LD=ld|KERNELVERSION=v2.5.47,kconfigreader,arch/alpha/Kconfig,3120,kconfigreader/linux/v2.5.47[alpha].model,62861,4778566609,3476
v2.5.47,linux,2002-11-11,1036985580,3559012,alpha,kmax/kconfig-bindings/linux/v2.6.9.kextractor,SUBARCH=alpha|ARCH=alpha|SRCARCH=alpha|srctree=.|CC=cc|LD=ld|KERNELVERSION=v2.5.47,kmax,arch/alpha/Kconfig,2197,kmax/linux/v2.5.47[alpha].model,13641,19292589351,2097
v2.5.47,linux,2002-11-11,1036985580,3559012,arm,kconfigreader/kconfig-bindings/linux/v2.6.9.dumpconf,SUBARCH=arm|ARCH=arm|SRCARCH=arm|srctree=.|CC=cc|LD=ld|KERNELVERSION=v2.5.47,kconfigreader,arch/arm/Kconfig,3228,kconfigreader/linux/v2.5.47[arm].model,75361,4772146172,3569
v2.5.47,linux,2002-11-11,1036985580,3559012,arm,kmax/kconfig-bindings/linux/v2.6.9.kextractor,SUBARCH=arm|ARCH=arm|SRCARCH=arm|srctree=.|CC=cc|LD=ld|KERNELVERSION=v2.5.47,kmax,arch/arm/Kconfig,2258,kmax/linux/v2.5.47[arm].model,15719,18291905761,2168
v2.5.47,linux,2002-11-11,1036985580,3559012,cris,kconfigreader/kconfig-bindings/linux/v2.6.9.dumpconf,SUBARCH=cris|ARCH=cris|SRCARCH=cris|srctree=.|CC=cc|LD=ld|KERNELVERSION=v2.5.47,kconfigreader,arch/cris/Kconfig,2997,kconfigreader/linux/v2.5.47[cris].model,47502,4538217513,3581
